stock_code,stock_name,industry_code,peer_stock_codes,peer_stock_names,business_tags,sector,industry,business_model,source
007610,선도전기,306,010120|267260|298040|006260|062040|001440,LS ELECTRIC|HD현대일렉트릭|효성중공업|LS|산일전기|대한전선,electrical equipment|industrial machinery,Industrials,Electrical Equipment,Electrical equipment and components manufacturing,NAVER_STOCK_INDUSTRY_COMPARE
007660,이수페타시스,278,005930|000660|402340|042700|036930|240810,삼성전자|SK하이닉스|SK스퀘어|한미반도체|주성엔지니어링|원익IPS,semiconductors|construction,Information Technology,Semiconductors,Semiconductor manufacturing or supply chain,NAVER_STOCK_INDUSTRY_COMPARE
007680,대원,279,000720|028050|047040|375500|006360|097230,현대건설|삼성E&A|대우건설|DL이앤씨|GS건설|HJ중공업,construction|industrial machinery,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",NAVER_STOCK_INDUSTRY_COMPARE
007690,국도화학,272,051910|003670|086520|011790|010060|014680,LG화학|포스코퓨처엠|에코프로|SKC|OCI홀딩스|한솔케미칼,chemicals|holding company,Materials,Specialty Chemicals,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
007700,F&F 홀딩스,274,111770|383220|081660|009970|093050|001530,영원무역|F&F|미스토홀딩스|영원무역홀딩스|LF|DI동일,holding company,Financials,Investment Holding Companies,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
007720,소노스퀘어,265,052020|051160|102370|063170|003580|051390,에스티큐브|지어소프트|케이옥션|서울옥션|HLB글로벌|YW,general listed company,General Listed Equity,Listed Operating Company,Operating company,NAVER_STOCK_INDUSTRY_COMPARE
007770,한일화학,272,051910|003670|086520|011790|010060|014680,LG화학|포스코퓨처엠|에코프로|SKC|OCI홀딩스|한솔케미칼,chemicals|holding company,Materials,Specialty Chemicals,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
007810,코리아써키트,282,009150|011070|353200|222800|020150|098460,삼성전기|LG이노텍|대덕전자|심텍|롯데에너지머티리얼즈|고영,semiconductors|electrical equipment|energy,Information Technology,Semiconductors,Electrical equipment and components manufacturing,NAVER_STOCK_INDUSTRY_COMPARE
007820,엠엑스로보틱스,299,034020|277810|241560|454910|267270|108490,두산에너빌리티|레인보우로보틱스|두산밥캣|두산로보틱스|HD건설기계|로보티즈,construction|industrial machinery,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",NAVER_STOCK_INDUSTRY_COMPARE
007860,서연,270,012330|161390|018880|005850|204320|000240,현대모비스|한국타이어앤테크놀로지|한온시스템|에스엘|HL만도|한국앤컴퍼니,automotive|software platform,Consumer Discretionary,Automobiles,Platform software and recurring services,NAVER_STOCK_INDUSTRY_COMPARE
007980,TP,274,111770|383220|081660|009970|093050|007700,영원무역|F&F|미스토홀딩스|영원무역홀딩스|LF|F&F홀딩스,holding company,Financials,Investment Holding Companies,Investment holding and portfolio management,NAVER_STOCK_INDUSTRY_COMPARE
008040,사조동아원,268,003230|271560|097950|026960|004370|140410,삼양식품|오리온|CJ제일제당|동서|농심|메지온,food and beverage,Consumer Staples,Food and Beverage,"Packaged food, beverage, and consumer staples",NAVER_STOCK_INDUSTRY_COMPARE
008060,대덕,282,009150|011070|353200|222800|020150|007810,삼성전기|LG이노텍|대덕전자|심텍|롯데에너지머티리얼즈|코리아써키트,semiconductors|electrical equipment|energy,Information Technology,Semiconductors,Electrical equipment and components manufacturing,NAVER_STOCK_INDUSTRY_COMPARE
